date,fajr,sunrise,dhuhr,asr_shafi,asr_hanafi,maghrib,isha
1,05:18,06:34,12:18,15:27,16:16,17:55,19:10
2,05:18,06:33,12:18,15:27,16:16,17:55,19:10
3,05:18,06:33,12:17,15:28,16:17,17:55,19:10
4,05:17,06:32,12:17,15:28,16:17,17:56,19:11
5,05:17,06:32,12:17,15:28,16:17,17:56,19:11
6,05:17,06:31,12:17,15:28,16:17,17:56,19:11
7,05:16,06:31,12:17,15:28,16:18,17:57,19:12
8,05:16,06:30,12:17,15:28,16:18,17:57,19:12
9,05:15,06:30,12:17,15:28,16:18,17:57,19:12
10,05:15,06:29,12:17,15:28,16:18,17:57,19:12
11,05:14,06:29,12:16,15:29,16:18,17:58,19:13
12,05:14,06:28,12:16,15:29,16:19,17:58,19:13
13,05:13,06:27,12:16,15:29,16:19,17:58,19:13
14,05:13,06:27,12:16,15:29,16:19,17:58,19:13
15,05:12,06:26,12:16,15:29,16:19,17:59,19:14
16,05:12,06:26,12:16,15:29,16:19,17:59,19:14
17,05:11,06:25,12:15,15:29,16:20,17:59,19:14
18,05:11,06:24,12:15,15:29,16:20,17:59,19:14
19,05:10,06:24,12:15,15:29,16:20,17:59,19:14
20,05:10,06:23,12:15,15:29,16:20,18:00,19:15
21,05:09,06:22,12:14,15:29,16:20,18:00,19:15
22,05:08,06:22,12:14,15:29,16:20,18:00,19:15
23,05:08,06:21,12:14,15:29,16:20,18:00,19:15
24,05:07,06:20,12:14,15:29,16:21,18:01,19:16
25,05:06,06:19,12:13,15:29,16:21,18:01,19:16
26,05:06,06:19,12:13,15:29,16:21,18:01,19:16
27,05:05,06:18,12:13,15:28,16:21,18:01,19:16
28,05:04,06:17,12:13,15:28,16:21,18:01,19:16
29,05:04,06:16,12:12,15:28,16:21,18:01,19:16
30,05:03,06:16,12:12,15:28,16:21,18:02,19:17
31,05:02,06:15,12:12,15:28,16:21,18:02,19:17
